gdi,gdi
grep,grep
python,python
big o,big o,big-o
saas,saas
ms-access,ms-access,ms access
crc,crc
scrollbar,scrollbar
for loop,for loop,for-loop
neural network,neural network,neural-network
mod proxy,mod proxy,mod-proxy
x-1-509,x-1-509
dashboard,dashboard
gstreamer,gstreamer
rhel,rhel
google sites,google sites,google-sites
icalendar,icalendar
x11,x11
yuv,yuv
vb-1-net,vb-1-net
project-management,project-management,project management
graph theory,graph theory,graph-theory
markdown,markdown
ecmascript-5,ecmascript-5,ecmascript 5
enums,enums
cloud,cloud
vba,vba
windows-xp,windows-xp,windows xp
msmq,msmq
parsing,parsing
opengl,opengl
mergesort,mergesort
point clouds,point clouds,point-clouds
objective c,objective c,objective-c
gtk,gtk
pipe,pipe
memory-management,memory-management,memory management
lazy-evaluation,lazy-evaluation,lazy evaluation
apache-nifi,apache-nifi,apache nifi
alexa,alexa
access-control,access-control,access control
chef,chef
social-networking,social-networking,social networking
stack trace,stack trace,stack-trace
e-commerce,e-commerce,e commerce
full-text-search,full-text-search,full text search
xsl fo,xsl fo,xsl-fo
ms-word,ms-word,ms word
portable-executable,portable-executable,portable executable
excel,excel
mips,mips
iphone-sdk-3-1-0,iphone-sdk-3-1-0,iphone sdk 3-1-0
unicode,unicode
implementation,implementation
annotations,annotations
greasemonkey,greasemonkey
noise,noise
factorial,factorial
mingw,mingw
b tree,b tree,b-tree
gzip,gzip
histogram,histogram
iphone-5,iphone-5,iphone 5
yacc,yacc
adobe-illustrator,adobe-illustrator,adobe illustrator
dbus,dbus
random-forest,random-forest,random forest
rdf,rdf
html entities,html entities,html-entities
qgis,qgis
dynamic-arrays,dynamic-arrays,dynamic arrays
jscript,jscript
cookies,cookies
safari,safari
f#,f#
timestamp,timestamp
installation,installation,install
facebook-fql,facebook-fql,facebook fql
geocoding,geocoding
dbf,dbf
internet explorer 8,internet explorer 8,internet-explorer-8
opera,opera
precision,precision
google-maps,google-maps,google maps
caching,caching
sorting,sorting
signal-processing,signal-processing,signal processing
records,records
dom,dom
tcl,tcl
telegram,telegram
gnu,gnu
google-cloud-messaging,google-cloud-messaging,google cloud messaging
google-cloud-storage,google-cloud-storage,google cloud storage
salt,salt
nasm,nasm
tibco,tibco
lowercase,lowercase
iterator,iterator
grails,grails
swift,swift
right to left,right to left,right-to-left
branch,branch
testing,testing
collections,collections
deadlock,deadlock
visual studio,visual studio,visual-studio
phpstorm,phpstorm
mariadb,mariadb
shell,shell
bubble-sort,bubble-sort,bubble sort
screen size,screen size,screen-size
flash player,flash player,flash,flash-player
liferay,liferay
set,set
entity-relationship,entity-relationship,entity relationship
sha1,sha1
scala,scala
delphi,delphi
binary search,binary search,binary-search
internet explorer 9,internet explorer 9,internet-explorer-9
ddl,ddl
internet-explorer-7,internet-explorer-7,internet explorer 7
textbox,textbox
iot,iot
uml,uml
web crawler,web crawler,web-crawler
file,file
pdf,pdf
yaml,yaml
lisp,lisp
apache-poi,apache-poi,apache poi
verification,verification
drop-down-menu,drop-down-menu,drop down menu
flv,flv
google cloud platform,google cloud platform,google-cloud-platform
google apps script,google apps script,google-apps-script
spi,spi
linker,linker
join,join
jdbc,jdbc
parallel processing,parallel processing,parallel-processing
recommendation engine,recommendation engine,recommendation-engine,recommendation
foreign keys,foreign keys,foreign-keys
linear-regression,linear-regression,linear regression
multicore,multicore
memory-address,memory-address,memory address
virtual-reality,virtual-reality,virtual reality
color-picker,color-picker,color picker
flickr,flickr
struct,struct
session,session
osx,osx
ide,ide
filenames,filenames
wordpress,wordpress
memcached,memcached
acl,acl
fastcgi,fastcgi
rtf,rtf
elisp,elisp
spinner,spinner
lua,lua
environment variables,environment variables,environment-variables
interrupt,interrupt
elf,elf
google-chrome,google-chrome,google chrome
vbscript,vbscript
sass,sass
netbeans,netbeans
field,field
symfony2,symfony2
ftp,ftp
modeling,modeling
apache,apache
string,string
static-libraries,static-libraries,static libraries
select,select
21st-century,21st-century
integer,integer
queue,queue
lazarus,lazarus
ping,ping
ffmpeg,ffmpeg
hhvm,hhvm
observer-pattern,observer-pattern,observer pattern
bezier curve,bezier curve,bezier-curve
opensuse,opensuse
csh,csh
passwords,passwords
"ctrixserver  XenServer is the best server virtualization platform for public and private clouds, powering 4 of the 5 largest hosting provider clouds-1-  Built with scale, security and multi-tenancy in mind, XenServer allows for even greater flexibility and cost efficiency","ctrixserver  XenServer is the best server virtualization platform for public and private clouds, powering 4 of the 5 largest hosting provider clouds-1-  Built with scale, security and multi-tenancy in mind, XenServer allows for even greater flexibility and cost efficiency"
etl,etl
Opération Nanook,Opération Nanook,Operation Nanook
accelerometer,accelerometer
fibonacci,fibonacci
apache kafka,apache kafka,apache-kafka
theano,theano
automatic ref counting,automatic ref counting,automatic-ref-counting
database design,database design,database-design
http-post,http-post,http post
gruntjs,gruntjs
javascript,javascript
scp,scp
authorization,authorization
bmp,bmp
css-float,css-float,css float
doubly linked list,doubly linked list,doubly-linked-list
minify,minify
path-finding,path-finding,path finding
internet-explorer-6,internet-explorer-6,internet explorer 6
button,button
jni,jni
scrum,scrum
quaternions,quaternions
nested,nested
filesystems,filesystems
jwt,jwt
google play games,google play games,google-play-games
sqlite,sqlite
css selectors,css selectors,css-selectors
tree,tree
debugging,debugging
hta,hta
ibm-midrange,ibm-midrange,ibm midrange
oledb,oledb
ivy,ivy
bean validation,bean validation,bean-validation
trigonometry,trigonometry
expressionengine,expressionengine
text mining,text mining,text-mining
bootloader,bootloader
blogger,blogger
google-street-view,google-street-view,google street view
sql-server,sql-server,sql server
callback,callback
ear,ear
java web start,java web start,java-web-start
rsync,rsync
web2py,web2py
openmp,openmp
Future of Libraries is Open,Future of Libraries is Open
web-worker,web-worker,web worker
atl,atl
jsf,jsf,jsf-2,jsf 2
sharding,sharding
validation,validation
blockchain,blockchain
backbone-1-js,backbone-1-js
JRebel ,JRebel ,JRebel 
solid-principles,solid-principles,solid principles
tapestry,tapestry
mqtt,mqtt
malloc,malloc
escaping,escaping
wireshark,wireshark
web services,web services,web-services
knockout-1-js,knockout-1-js,knockout 2-1-0,knockout-2-1-0
true type fonts,true type fonts,true-type-fonts
operating system,operating system,operating-system
android-intent,android-intent,android intent
rebase,rebase
17th-century,17th-century,Seicento
apache pig,apache pig,apache-pig
github pages,github pages,github-pages
categorical-data,categorical-data,categorical data
gcc,gcc
google-adwords,google-adwords,google adwords
constants,constants
jquery,jquery
lambda,lambda
pickle,pickle
struts,struts
ml,ml
codeigniter,codeigniter
pygtk,pygtk
double,double
google-play-services,google-play-services,google play services
pthreads,pthreads
acrobat,acrobat
nhibernate,nhibernate
axapta,axapta
xmpp,xmpp
forward declaration,forward declaration,forward-declaration
ribbon,ribbon
http,http
currency,currency
openedge,openedge
future,future,promise
vhdl,vhdl
inversion of control,inversion of control,inversion-of-control
"xdg-app
xdg-app is a system for building, distributing and running sandboxed desktop applications on Linux-1-","xdg-app
xdg-app is a system for building, distributing and running sandboxed desktop applications on Linux-1-"
overloading,overloading
layout,layout
windows-server-2012,windows-server-2012,windows server 2012
slf4j,slf4j
tail recursion,tail recursion,tail-recursion
mapreduce,mapreduce
firemonkey,firemonkey
ajax,ajax
submenu,submenu,menu
syslog,syslog
16th-century,16th-century,Cinquecento
generics,generics
progress,progress,progress-bar,progress bar
git,git
weak-references,weak-references,weak references
java-ee,java-ee,java ee
primitive,primitive
datasource,datasource
authentication,authentication
internet-explorer-11,internet-explorer-11,internet explorer 11
contour,contour
apk,apk
csrf,csrf
mapi,mapi
opennlp,opennlp
gsl,gsl
matplotlib,matplotlib
joomla,joomla
rdbms,rdbms
gpgpu,gpgpu
mpi,mpi
firefox-os,firefox-os,firefox os
clojure,clojure
pycrypto,pycrypto
gnupg,gnupg
jira,jira
sage,sage
maps,maps
freepascal,freepascal
vuforia,vuforia
facebook c# sdk,facebook c# sdk,facebook-c#-sdk
icons,icons
hex,hex
openxml,openxml
activemq,activemq
html5,html5
postgresql,postgresql
traversal,traversal
hyperlink,hyperlink
coffeescript,coffeescript
windows-phone,windows-phone,windows phone
batch file,batch file,batch-file
indexeddb,indexeddb
z-index,z-index,z index
reporting services,reporting services,reporting-services
handlebars-1-js,handlebars-1-js
tagging,tagging
jquery-mobile,jquery-mobile,jquery mobile
google plus,google plus,google-plus
c# 3-1-0,c# 3-1-0,c#-3-1-0
code-signing,code-signing,code signing
python-idle,python-idle,python idle
linux,linux
http2,http2
hebrew,hebrew
account,account
wsh,wsh
numbers,numbers
speech recognition,speech recognition,speech-recognition
io,io
ternary operator,ternary operator,ternary-operator
php,php
hana,hana
websocket,websocket
pseudocode,pseudocode
flat file,flat file,flat-file
django,django
nosql,nosql
tcp ip,tcp ip,tcp-ip
wysiwyg,wysiwyg
microdata,microdata
const,const
typeclass,typeclass
bouncycastle,bouncycastle
14th-century,14th-century,Trecento
perforce,perforce
stack-overflow,stack-overflow,stack overflow
security,security
magento2,magento2,magento
restart,restart
usb,usb
3g,3g
async await,async await,async-await
gif,gif
Open Food Facts,Open Food Facts
wicket,wicket
user agent,user agent,user-agent
mobile-website,mobile-website,mobile website
wsf,wsf
jsdoc,jsdoc
barcode,barcode
direct3d,direct3d
jpa,jpa
string literals,string literals,string-literals
heap,heap
maven,maven
heatmap,heatmap
url-rewriting,url-rewriting,url rewriting
copy-constructor,copy-constructor,copy constructor
hook,hook
prestashop,prestashop
uuid,uuid
point cloud library,point cloud library,point-cloud-library
voip,voip
css,css
payment-gateway,payment-gateway,payment gateway
jython,jython
rtsp,rtsp
utf 8,utf 8,utf-8
ios6,ios6
cocoa,cocoa
oracle,oracle
sampling,sampling
insertion-sort,insertion-sort,insertion sort
forms,forms
RequireJS,RequireJS
model-view-controller,model-view-controller,model view controller
geojson,geojson
arduino,arduino
facebook,facebook
sharepoint,sharepoint
memory,memory
solaris,solaris
jenkins,jenkins
visualization,visualization
emulation,emulation
imagemap,imagemap
google-project-tango,google-project-tango,google project tango
webkit,webkit
apache-flink,apache-flink,apache flink
extends,extends
lets encrypt,lets encrypt,lets-encrypt
viewmodel,viewmodel
cpu,cpu
java,java
quicksort,quicksort
function pointers,function pointers,function-pointers
modal-dialog,modal-dialog,modal dialog
literals,literals
abap,abap
fold,fold
payment,payment
radio-button,radio-button,radio button
bpmn,bpmn
inheritance,inheritance
blender,blender
lotus-notes,lotus-notes,lotus notes
bdd,bdd
multimap,multimap
ibm watson cognitive,ibm watson cognitive,ibm-watson-cognitive
flask,flask
jquery-ui,jquery-ui,jquery ui
bcrypt,bcrypt
sparql,sparql
ssis,ssis
ssh,ssh
hash,hash
comments,comments
glibc,glibc
dialog,dialog
default value,default value,default-value
return,return
event-handling,event-handling,events,event handling
LZMAT,LZMAT
n tier,n tier,n-tier
discrete-mathematics,discrete-mathematics,discrete mathematics
birt,birt
epoll,epoll
soap,soap
soapui,soapui
patch,patch
rtti,rtti
dojo,dojo
login,login
verilog,verilog
distributed-computing,distributed-computing,distributed computing
intellisense,intellisense
checkbox,checkbox
adsense,adsense
global-variables,global-variables,global variables
regex,regex
redirect,redirect
pattern matching,pattern matching,pattern-matching
sift,sift
interface,interface
recursion,recursion
at-command,at-command,at command
null,null
GlobaLeaks,GlobaLeaks
bluetooth-lowenergy,bluetooth-lowenergy,bluetooth lowenergy
naivebayes,naivebayes
producer-consumer,producer-consumer,producer consumer
logistic-regression,logistic-regression,logistic regression
floating-point,floating-point,floating point
emacs,emacs
core audio,core audio,core-audio
certificate,certificate
cocoa-touch,cocoa-touch,cocoa touch
nfc,nfc
mathjax,mathjax
wav,wav
image-processing,image-processing,image processing
webgl,webgl
html5-audio,html5-audio,html5 audio
breadth first search,breadth first search,breadth-first-search
wmi,wmi
optimization,optimization
dns,dns
mvvm,mvvm
doctrine,doctrine
disk,disk
tbb,tbb
http status codes,http status codes,http-status-codes
udp,udp
unix timestamp,unix timestamp,unix-timestamp
xmlhttprequest,xmlhttprequest
drupal,drupal
sip,sip
pointers,pointers
winsock,winsock
hsqldb,hsqldb
scalability,scalability
tortoisesvn,tortoisesvn
race-condition,race-condition,race condition
byte,byte
contextmenu,contextmenu
64bit,64bit
microsoft-edge,microsoft-edge,microsoft edge
icc,icc
rtp,rtp
xerces,xerces
seo,seo
qa,qa
appkit,appkit
google-docs,google-docs,google docs
vpn,vpn
lazy-loading,lazy-loading,lazy loading
varnish,varnish
terraform,terraform
seam,seam
pcm,pcm
circle,circle
deep-learning,deep-learning,deep learning
diacritics,diacritics
cil,cil
mysqli,mysqli
jboss,jboss
gwt,gwt
union,union
youtube,youtube
authorize-1-net,authorize-1-net
ios10,ios10
utc,utc
Dridex,Dridex
wcf,wcf
ipv6,ipv6
video,video
object,object
samba,samba
eclipse,eclipse
mongodb,mongodb
banner,banner
real time,real time,real-time
code review,code review,code-review
java bytecode asm,java bytecode asm,java-bytecode-asm
sql-execution-plan,sql-execution-plan,sql execution plan
jndi,jndi
tdd,tdd
wildcard,wildcard
scikit learn,scikit learn,scikit-learn
osx-lion,osx-lion,osx lion
limit,limit
parentheses,parentheses,brackets
prepared-statement,prepared-statement,prepared statement
amazon ses,amazon ses,amazon-ses
interceptor,interceptor
lwjgl,lwjgl
dax,dax
go,go
ws-security,ws-security,ws security
api,api
rubygems,rubygems
11th-century,11th-century
curve fitting,curve fitting,curve-fitting
mp3,mp3
final,final
data-binding,data-binding,data binding
visual foxpro,visual foxpro,visual-foxpro
elixir,elixir
spring roo,spring roo,spring-roo
version-control,version-control,version control
node-1-js,node-1-js
cluster-analysis,cluster-analysis,cluster analysis
openldap,openldap
channel,channel
c++11,c++11
windows-services,windows-services,windows services
sockets,sockets
autofill,autofill
lighttpd,lighttpd
telnet,telnet
less,less
Spectrum 2,Spectrum 2
alfresco,alfresco
fedora,fedora
hashtag,hashtag
pandas,pandas
override,override
email-attachments,email-attachments,email attachments
dependency-injection,dependency-injection,dependency injection
encapsulation,encapsulation
median,median
access-violation,access-violation,access violation,sigsegv
hierarchical clustering,hierarchical clustering,hierarchical-clustering
portability,portability
tiff,tiff
zip,zip
mamp,mamp
mdx,mdx
salesforce,salesforce
refactoring,refactoring
dicom,dicom
slider,slider
k-means,k-means,k means
osx snow leopard,osx snow leopard,osx-snow-leopard
internet explorer,internet explorer,internet-explorer
amazon-web-services,amazon-web-services,amazon web services
lamp,lamp
jfreechart,jfreechart
abstract class,abstract class,abstract-class
doxygen,doxygen
firefox,firefox
jinja2,jinja2
continuous-integration,continuous-integration,continuous integration
sh,sh
gradient,gradient
winscp,winscp
cloudflare,cloudflare
jailbreak,jailbreak
